timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
94.402,1.844735424,2.994900543,-17.80021499,-0.001163137,0.005479715,-0.456625292,0.88964148,-0.006801668,-0.211703906,0.447837709,0.046288289,0.056122238,1.264991886
94.452,1.844770675,2.98434072,-17.77785746,-0.000389932,0.006474674,-0.427942278,0.903782791,0.007612322,-0.210480029,0.446653041,0.057896347,-0.015677442,1.291467536
94.502,1.845535801,2.973847689,-17.75554629,0.001190286,0.005888517,-0.398494083,0.917151228,0.022697054,-0.209731442,0.44578438,0.047081568,-0.080720407,1.285079316
94.552,1.847105999,2.963347721,-17.73327932,0.002732489,0.003887321,-0.369197605,0.929338771,0.039718138,-0.21016701,0.44499444,0.015947979,-0.116844831,1.255002061
94.602,1.849562708,2.952842994,-17.711035,0.003728921,0.001224074,-0.340119156,0.940374158,0.057891856,-0.209862038,0.444972782,-0.010767109,-0.1140701,1.235558103
94.652,1.852902978,2.942394443,-17.68876501,0.004063139,-0.001000336,-0.310844949,0.950451423,0.074488382,-0.207724315,0.445916108,-0.021939699,-0.06668913,1.246809581
94.702,1.857024097,2.932099357,-17.666447,0.003732634,-0.001748377,-0.280897757,0.959728848,0.089897898,-0.204203919,0.446572942,-0.029090194,0.007492912,1.255099764
94.752,1.861924858,2.922002209,-17.64411936,0.002704385,-0.000779406,-0.250687404,0.968063998,0.10535139,-0.199503923,0.446477676,-0.03319658,0.076145764,1.253968803
94.802,1.867591422,2.912178143,-17.62179782,0.001398387,0.001463291,-0.220309562,0.975427906,0.120961644,-0.19371002,0.446491011,-0.025168045,0.107623078,1.242841192
94.852,1.874066331,2.902655041,-17.59946013,0.000422986,0.003921255,-0.190134005,0.981750225,0.137205848,-0.187158779,0.44708349,-0.002606922,0.092127178,1.228939601
94.902,1.881326605,2.893529485,-17.57709242,0.000329422,0.005753356,-0.160703587,0.98698589,0.152483831,-0.177579615,0.447428714,0.031982691,0.049779787,1.139685389
94.952,1.889346671,2.884964724,-17.55472863,0.001296351,0.006504045,-0.134208082,0.99093098,0.167805392,-0.165165652,0.44707807,0.063612242,-0.003565299,1.015596795
95.002,1.898158944,2.8770556,-17.53241921,0.002867446,0.006046799,-0.110145277,0.993892968,0.184363894,-0.1517678,0.444820961,0.058426097,-0.048733836,0.933197037
95.052,1.907810078,2.869803792,-17.5102768,0.00376435,0.004723266,-0.087359088,0.996158577,0.200178553,-0.139075203,0.441157234,0.010178029,-0.062502922,0.917065171
95.102,1.918115796,2.86315194,-17.4882902,0.003292298,0.00351666,-0.06375401,0.997954017,0.210863494,-0.127575826,0.438654369,-0.044083702,-0.034415483,0.982088962
95.152,1.928862534,2.857070845,-17.46639339,0.001665976,0.003223313,-0.038152184,0.999265353,0.218366169,-0.116016675,0.437458581,-0.07362786,0.010751723,1.06483037
95.202,1.939933139,2.851584819,-17.44452922,-0.00026532,0.004015827,-0.010562997,0.999936111,0.223852318,-0.103862197,0.4372574,-0.066248288,0.051289898,1.13977157
95.252,1.951214068,2.84670811,-17.42265489,-0.001638993,0.005627005,0.018860525,0.999804947,0.226837328,-0.091746857,0.437804731,-0.031054472,0.07533927,1.211181539
95.302,1.962579582,2.842424352,-17.40073944,-0.001963715,0.007512637,0.050006186,0.998718722,0.227386679,-0.08019223,0.438814575,0.014263323,0.075918987,1.278293573
95.352,1.973918566,2.838696128,-17.37876393,-0.001249389,0.009040762,0.082700294,0.996532671,0.225942488,-0.069530131,0.440243312,0.052547981,0.053412033,1.338706643
95.402,1.98513927,2.835467644,-17.35672207,7.30E-08,0.009724667,0.115075949,0.993309094,0.222721119,-0.060345129,0.441143884,0.057438295,0.014771105,1.222350447
95.452,1.996185005,2.832664402,-17.33465946,0.00084085,0.00936205,0.142691991,0.989722507,0.219485043,-0.052041198,0.441351367,0.034374361,-0.031763476,1.019479112
95.502,2.007107859,2.830285795,-17.31259588,0.00088082,0.007971222,0.165979261,0.986096633,0.217874754,-0.043247186,0.441023154,0.00308017,-0.073852999,0.884271763
95.552,2.018005035,2.828379707,-17.29056745,4.43E-05,0.005862424,0.186756421,0.982388757,0.218250878,-0.033230839,0.440130026,-0.024357627,-0.097404098,0.81858251
95.602,2.028942404,2.826990745,-17.26857853,-0.001304271,0.003679623,0.206703486,0.978395844,0.219104262,-0.022803709,0.43963823,-0.035706844,-0.086230841,0.82052937
95.652,2.039906043,2.826125724,-17.2465873,-0.002482629,0.002229388,0.227274213,0.973825086,0.219273942,-0.01219316,0.440124722,-0.024556539,-0.040388652,0.869794388
95.702,2.050846944,2.825789967,-17.2245536,-0.00287816,0.002048246,0.249329493,0.96841227,0.218176237,-0.001683275,0.441263441,-0.000241598,0.023100049,0.946898047
