timestamp,thrust_0,thrust_1,thrust_2,thrust_3,thrust_4,thrust_5
36.802,-0.643864608,5.301619213,0.280810125,-5.114462163,-5.383472177,-4.767320269
36.852,-0.146642253,5.410154849,-0.000758556,-5.262609338,-5.47449472,-4.987248285
36.902,0.041208752,5.158634977,-0.297223087,-2.746511976,-5.255976091,-3.819684404
36.952,0.384770824,5.257220871,-0.916526654,-2.201960458,-5.333651552,-2.553273197
37.002,1.009017533,3.112141817,-1.634189162,-1.20907375,-5.332787612,-2.983844329
37.052,1.729410112,3.375518869,-2.33585131,-1.714368572,-5.422544545,-3.527077614
37.102,0.366827828,3.855820878,-0.595620982,-2.405420997,-5.241748232,-3.981597476
37.152,-0.003730171,4.252001904,-0.004662844,-3.029830643,-5.320747559,-4.30099274
37.202,-0.336784543,4.573965333,0.23000237,-3.565973447,-5.388787492,-4.487224421
37.252,-0.969690425,4.832848728,0.82132116,-4.013758701,-5.475749185,-4.583760974
37.302,-1.689151098,5.039403281,1.534050817,-4.380833764,-5.16547161,-4.827455683
37.352,-2.386879021,5.20326194,2.242098403,-4.677835614,-5.273858401,-4.966291132
37.402,-0.929523195,5.332691031,0.502919473,-4.915887633,-5.388307956,-4.620683724
37.452,-0.217077181,5.434591871,0.000381603,-4.91728134,-5.478292339,-4.392841241
37.502,0.013794467,5.514620334,-0.267860525,-5.05031692,-5.242616153,-4.400541108
37.552,0.191172036,5.577351733,-0.875789567,-5.208711441,-5.340346719,-4.334710766
37.602,0.724719493,4.508538539,-1.591624688,-2.637701249,-5.178318558,-4.040916341
37.652,1.405105239,4.694184725,-2.296128243,-2.522360591,-5.292135396,-3.524019336
37.702,0.278097612,4.928937557,-0.869890547,-3.08986952,-5.292135396,-3.524019336
37.752,-0.013764364,5.115730537,-0.053965447,-3.6166302,-5.489586756,-4.27039189
37.802,0.056063911,5.26361134,-0.261270569,-4.055574736,-5.220103217,-4.307212568
37.852,0.28981184,5.380240509,-0.705613873,-4.414834276,-5.286914438,-4.205836943
37.902,-0.002611317,5.471956619,-0.084332525,-4.705185096,-5.39707752,-4.491574609
37.952,-0.327829058,5.543922113,0.043847881,-4.937715026,-5.485178237,-4.763761876
38.002,-0.95781262,5.60029455,0.469981351,-5.122694033,-4.953072732,-4.198723366
38.052,-1.676926672,5.644394968,1.131707878,-5.269111907,-4.762817498,-3.604836138
38.102,-0.446445678,5.67886021,0.210873688,-5.384571295,-2.551958572,-2.917882354
38.152,-0.02145659,5.705774431,-0.018770664,-5.47535791,-2.313623825,-1.307201731
38.202,0.149901687,5.72677932,-0.403990286,-4.313491856,-2.101885658,-0.429926019
38.252,0.381338956,5.743164675,-1.056318614,-3.853410467,-2.149380852,-0.075723554
38.302,0.977721774,5.26348553,-1.777414107,-1.873661977,-2.759107712,-0.3621637
38.352,1.073888552,5.341432975,-2.468232283,-2.058966807,-3.335729369,-0.757968384
38.402,0.128003376,5.441464201,-0.587619575,-2.695623199,-3.135195731,-0.705936873
38.452,-0.064582126,5.520011387,-0.004126031,-3.281273856,-3.053816518,-0.694286
38.502,-0.533897353,5.581573869,0.233038304,-3.777223823,-3.543229757,-1.273485978
38.552,-1.21401257,5.629755247,0.825780507,-4.187637125,-3.994958669,-1.898666583
38.602,-1.539395286,5.667422368,0.245298539,-4.5219254,-3.591979633,-1.062091217
38.652,-1.855462389,5.696844543,0.001618395,-4.791159942,-3.436243372,-0.430156974
38.702,-2.19319531,5.719811319,-0.091248016,-5.006232418,-3.479532959,-0.523660092
38.752,-2.666466975,5.737729865,-0.339707253,-5.17700169,-3.774804015,-0.589776239
38.802,-0.658453636,5.384882245,-0.948009401,-4.533464543,-4.036421042,-1.149941776
38.852,-0.032376316,5.43368675,-1.666813879,-4.290715137,-4.3882499,-1.764996732
38.902,0.146639927,5.038074423,-2.366175959,-3.855442386,-4.139470336,-1.954069016
38.952,0.380830294,5.164626253,-2.798323205,-4.195959086,-4.298526294,-1.755959956
39.002,0.001399136,5.3022165,-0.770166078,-4.528659433,-4.30108862,-1.8855159
39.052,-0.253648202,5.410624751,-0.022711261,-4.796557793,-4.289609907,-2.098563653
39.102,-0.611532698,5.495813079,-0.184211287,-5.010529299,-4.299453332,-1.794208059
39.152,-1.142497127,5.562618716,-0.484602953,-5.18040453,-4.45557508,-1.461570603
39.202,-0.166482412,5.142203203,-1.115656957,-4.309066317,-3.726941675,-1.430962919
39.252,0.016865448,5.209354833,-1.837032601,-3.814016958,-3.544932115,-1.04658556
39.302,0.284581019,5.337494511,-2.522794208,-3.673786613,-3.725825329,-0.923852471
39.352,0.060124618,5.438368204,-2.737205818,-4.044992495,-4.074222257,-0.754979115
39.402,0.000501735,5.517582804,-2.960734843,-4.406234108,-4.426389019,-0.932760913
39.452,-0.180429342,5.579671922,-2.550394138,-4.698269709,-4.71447365,-1.131530946
39.502,-0.689934211,5.628267601,-1.907544866,-4.932197355,-4.156180301,-0.38452468
39.552,-1.384360539,5.666259901,-0.870755753,-5.118316828,-3.740716128,-0.046102288
39.602,-1.674115923,5.695936856,-0.231978072,-5.26565439,-3.558557383,-0.34600989
39.652,-1.908694909,5.719102982,-0.062019215,-5.381849133,-3.666180978,-0.825726066
39.702,-2.552703694,5.737177345,0.094160528,-5.473220029,-3.798802983,-1.398366765
39.752,-3.157978835,5.751273424,0.595591342,-5.544912493,-4.183295462,-1.802168909
39.802,-1.442477848,5.762263442,0.023393902,-5.184846861,-4.263869549,-1.066805874
39.852,-1.260062793,5.770829743,-0.134105385,-4.84871407,-4.19500775,-1.010285139
39.902,-0.267871039,5.777505591,-0.605848256,-4.817522391,-4.292797679,-1.643477322
39.952,-0.267221257,5.782707421,-0.874338998,-4.997265846,-4.575304951,-2.282695331
40.002,0.002614501,4.32035738,-1.528068321,-1.783103046,-4.833921123,-1.927756594
40.052,0.123514471,4.517695243,-2.23646375,-0.672171797,-5.040256113,-1.125775759
40.102,-0.029014208,4.787768642,-0.721183898,-1.194644415,-4.647716188,-0.7881126
40.152,-0.442788471,5.003532528,-0.018720206,-1.915438485,-4.261847873,-0.755837109
40.202,-1.104597667,5.174863384,0.181654216,-2.594101311,-4.453305779,-0.990799523
40.252,-1.825969632,5.310293762,0.747702715,-3.193795255,-4.729523348,-1.191505925
40.302,-2.430875109,5.416978758,0.316463822,-3.703992511,-4.957126391,-1.253751045
40.352,-2.985891163,5.500800056,0.041044587,-4.12750945,-5.138088632,-1.251620197
40.402,-3.523907606,5.566525912,0.273095224,-4.473220664,-4.971744341,-1.332961322
40.452,-3.978974261,5.617983629,0.630625358,-4.752090043,-5.039586428,-1.308821105
40.502,-4.352516281,5.658222927,1.17872687,-4.975114146,-3.749698201,-0.284248034
40.552,-4.655037521,5.689660787,1.678342327,-5.152347883,-3.020855222,9.33E-05
40.602,-1.496522764,2.694557539,0.298056664,-2.025082137,-1.318997917,0.208170003
40.652,-0.176366408,2.627419598,-0.011574132,-1.303622546,-1.032344545,0.754283714
40.702,-0.614726782,3.186127851,0.139273853,-1.929005452,-0.350080504,1.295011827
40.752,-1.307320155,3.69756077,0.678003904,-2.606390267,-0.115709041,1.857398747
40.802,-2.025589562,4.122221184,1.378366033,-3.204410949,-0.565181273,0.770937088
40.852,-2.693472811,4.468932801,2.094121655,-3.712893875,-1.250498942,0.235862523
40.902,-3.279426033,4.748647931,2.668843778,-4.134826291,-1.454546597,0.536595537
40.952,-3.775679748,4.972371124,3.055936071,-4.479152207,-1.470372086,0.97670782
41.002,-4.186370918,5.150173827,3.355985839,-4.756850964,-1.85756819,0.264160601
41.052,-4.520900654,5.290810147,3.385659205,-4.978907738,-2.418283029,0.01062223
41.102,-1.437452742,5.228735406,0.935512936,-4.413032016,-2.257956574,0.021119087
41.152,-0.181158082,5.339490153,0.048622456,-4.391721435,-2.215842062,0.074395421
41.202,0.039760159,5.00318711,-0.130347413,-2.020223873,-2.253034535,0.283393912
41.252,0.252305674,5.141344366,-0.662500964,-2.31049103,-2.486055352,0.649326954
41.302,0.778285773,5.283839808,-1.361105874,-2.52966549,-2.604700254,0.915897854
41.352,0.229038931,5.396164527,-1.797526022,-3.105204143,-2.633978744,1.06972638
41.402,-0.019841049,5.48446141,-0.335780835,-3.629546284,-1.172868737,1.440967707
41.452,-0.412763297,5.553723419,0.00663858,-4.06622423,-0.475797234,1.879783447
41.502,-1.067335942,5.607965763,0.355479215,-4.423486229,-0.636935259,2.288811506
41.552,-1.788532681,5.650392331,0.994214906,-4.712140454,-0.769337733,2.525921461
41.602,-2.410773578,5.683544922,0.652112462,-4.943263608,-0.951235844,2.204148142
41.652,-3.028124536,5.709431355,0.527717402,-5.127095181,-1.255867687,2.049651226
41.702,-0.877429107,5.729632471,0.010364962,-4.479843387,-1.535648588,1.988639327
41.752,-0.098642938,5.745389827,-0.205641881,-4.082620634,-1.669585639,1.769959255
41.802,0.071652464,5.757676655,-0.784880319,-3.353207923,-0.718891915,2.212237942
41.852,0.171628861,5.767254737,-1.495075254,-3.50753576,-0.583195891,2.846855544
41.902,-0.025387251,5.774719669,-0.245307455,-3.945486238,-1.207169234,2.254927865
41.952,-0.431458907,5.780536708,0.021620035,-4.325224317,-1.836688169,1.019205832
